state,date,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,dec_percent_bed_used,dec_percent_beds_used_COVID,dec_percent_COVID_of_beds_used
PR,5/27/20,2462,1970,122,0.80016247,0.049553209,0.061928934
WI,11/11/20,13452,9689,2371,0.720264645,0.176256319,0.244710496
FL,9/10/20,77110,44709,4320,0.579808066,0.056023862,0.096624841
CT,8/6/20,8128,6055,178,0.744955709,0.021899606,0.029397192
TX,9/2/20,65578,48175,5253,0.734621367,0.080103083,0.109039958
DC,5/22/20,2925,2044,444,0.698803419,0.151794872,0.217221135
CO,5/5/20,3989,3504,500,0.878415643,0.125344698,0.142694064
SC,10/12/20,10128,8098,743,0.799565561,0.073360979,0.09175105
KY,5/8/20,10723,5435,500,0.506854425,0.046628742,0.09199632
NC,11/23/20,22515,16431,2008,0.729780147,0.089184988,0.122208021
OK,10/12/20,11370,7201,833,0.633333333,0.073262973,0.115678378
VA,6/7/20,12834,7196,773,0.560698146,0.060230637,0.107420789
MA,9/29/20,19655,15678,367,0.797659629,0.018672094,0.023408598
ME,10/16/20,3264,2286,29,0.700367647,0.008884804,0.012685914
NV,8/26/20,8472,6151,817,0.726038716,0.096435316,0.132823931
DC,8/11/20,3326,2617,144,0.786831028,0.04329525,0.055024838
TN,10/16/20,20429,13977,1382,0.684174458,0.06764893,0.098876726
AR,10/28/20,9969,6570,742,0.659043033,0.074430735,0.112937595
SD,6/30/20,2395,932,82,0.38914405,0.034237996,0.087982833
IA,8/24/20,8306,4903,333,0.590296171,0.0400915,0.067917601
WA,10/18/20,11610,9040,397,0.778639104,0.03419466,0.043915929
NC,8/20/20,22700,19732,1421,0.869251101,0.062599119,0.072015001
MO,6/24/20,20964,12719,690,0.606706735,0.032913566,0.054249548
NV,5/17/20,5158,3327,476,0.645017449,0.092283831,0.143071836
AR,6/27/20,7715,4316,356,0.559429682,0.046143876,0.082483781
TN,7/25/20,19111,10014,1705,0.523991419,0.089215635,0.170261634
